"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Inspection.Type","Inspection.Date","Permit.No","NPDES.No","Complaint.Tracking.No","Inspection.Reason","Site.Status","Site.Condition","Recommended.Actions","Compliance.Assist.","Latitude","Longitude"
"1",136901,"Casselman River Partners LLC","From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend","Grantsville,MD,21536","Garrett","Waterway Construction","07/07/2016","15-NT-3066,16-GA-0001",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"2",136901,"Casselman River Partners LLC","From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend","Grantsville,MD,21536","Garrett","Sediment_Erosion","07/07/2016","15-NT-3066,16-GA-0001",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"3",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","State_federal SWM","07/11/2016","16-SF-0044","MDRCPS0DD",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"4",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","NPDES Construction Activity","07/11/2016","16-SF-0044","MDRCPS0DD",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"5",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","State_federal SWM","07/19/2016","16-SF-0044","MDRCPS0DD",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"6",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","NPDES Construction Activity","07/19/2016","16-SF-0044","MDRCPS0DD",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"7",146044,"HO DPW - Bonnie Branch Road - Phase II","Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave","Ellicott City,MD,21043","Howard","NPDES Construction Activity","07/20/2016","15-NT-3245","MDRCN020I",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"8",146044,"HO DPW - Bonnie Branch Road - Phase II","Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave","Ellicott City,MD,21043","Howard","Nontidal Wetlands","07/20/2016","15-NT-3245","MDRCN020I",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"9",146044,"HO DPW - Bonnie Branch Road - Phase II","Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave","Ellicott City,MD,21043","Howard","NPDES Construction Activity","07/21/2016","15-NT-3245","MDRCN020I",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"10",146044,"HO DPW - Bonnie Branch Road - Phase II","Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave","Ellicott City,MD,21043","Howard","Nontidal Wetlands","07/21/2016","15-NT-3245","MDRCN020I",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"11",136734,"Town of Loch Lynn Heights-Wetland Boardwalk","Starts at the end of W 2nd travles along Little Youghiogheny River then connects to existing trails, around Loch Lynn ball park","Loch Lynn Heights,MD,21550","Garrett","Sediment_Erosion","07/26/2016","12-NT-3165,14-GA-0089","MDRCL00M3",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"12",136734,"Town of Loch Lynn Heights-Wetland Boardwalk","Starts at the end of W 2nd travles along Little Youghiogheny River then connects to existing trails, around Loch Lynn ball park","Loch Lynn Heights,MD,21550","Garrett","Nontidal Wetlands","07/26/2016","12-NT-3165,14-GA-0089","MDRCL00M3",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"13",136734,"Town of Loch Lynn Heights-Wetland Boardwalk","Starts at the end of W 2nd travles along Little Youghiogheny River then connects to existing trails, around Loch Lynn ball park","Loch Lynn Heights,MD,21550","Garrett","NPDES Construction Activity","07/26/2016","12-NT-3165,14-GA-0089","MDRCL00M3",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"14",74131,"Colonial Pipeline Co/mo, Ho And Cl","CPC ROWE IN MO, HO & CL COUNTIES","Mo, Ho Cl Counties,MD","Montgomery","Nontidal Wetlands","07/26/2016","04-NT-0313",NA,NA,NA,"Complete","Satisfactory/Compliance","Additional Investigation Required","N",NA,NA
"15",131871,"Carroll County Bureau of Building Construction N side of Woodbine Road between Braddock and Bethel","North side of Woodbine Road between , intersections with Braddock and Bethel Roads, 7200 ft (1.36mi) south of intersection of Woodbine Road and MD 26 (Liverty Road)","Woodbine,MD","Howard","Nontidal Wetlands","07/27/2016","10-NT-3165",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
