"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enforcement.Action","Enforcement.Action.No","Enforcement.Action.Issued","Case.Closed","Media","Program","Latitude","Longitude"
"1",34,"Smithsonian Paul E Garber Facility","3904 Old Silver Hill Road","Suitland,MD,20746-3190","Prince George's",NA,NA,NA,NA,"Not Assigned",NA,38.8418866689892,-76.9442726378116
"2",46,"Dickerson Generating Station/GenOn Mid-Atlantic, LLC.","21200 Martinsburg Road","Dickerson,MD,20842","Montgomery","Penalty Settlement","PS-18-2477","07/20/2017","08/15/2017","Surface Water Discharge Unauthorized","Industrial Major",39.2042740194436,-77.445023961796
"3",88,"NuStar Terminals Operations Partnership L.P.","17877 Piney Point Rd","Piney Point,MD,20674","St. Mary's","Settlement Agreement","SA-14-2007","10/11/2013","09/05/2014","Surface Water Discharge Permit","Industrial Minor",38.1585930812479,-76.5234710372456
"4",120,"Tradepoint Atlantic","1600 Sparrows Point Blvd","Baltimore,MD,21219","Baltimore","Consent Order","SAP-15-2242","04/09/2015","07/11/2017","Surface Water Discharge Permit","Industrial Major",39.2250139915706,-76.4700119829723
"5",143,"St. Agnes Hospital","900 S Caton Ave","Baltimore,MD,21229","Baltimore City","Penalty Settlement",NA,"08/21/2012","10/23/2012","Notice of Intent","Notice of Intent (Construction)",39.2735899152606,-76.671386606951
"6",167,"GAF","1500 S Ponca St","Highlandtown,MD,21224","Baltimore City","Penalty Settlement","PS-15-2226","03/04/2015","03/20/2015","Surface Water Discharge Unauthorized","Industrial Minor",39.2753699928912,-76.5545729815262
"7",229,"Foulger-Pratt Development, LLC - Remedial Dewateri","8021 Georgia Ave","Silver Spring,MD,21910","Montgomery","Consent Order","CO-15-2138","09/09/2014","12/23/2014","Notice of Intent","Industrial Minor",38.9875859807374,-77.0263039769322
"8",503,"Father Martin's Ashley","800 Tydings Lane","Havre De Grace,MD,21078","Harford","Consent Order","CO-19-2580","03/01/2019",NA,"Groundwater Discharge Permit","Municipal Minor",39.5038410179556,-76.1269759743822
"9",641,"Daniel G. Schuster, LLC","3717 Crondall Lane","Owings Mills,MD,21117","Baltimore","Settlement Agreement","SA-19-2565","12/14/2018","12/26/2018","Surface Water Discharge Permit","Industrial Minor",39.4339433621476,-76.7790929161926
"10",731,"Southern MD Agricultural Association/Bowie Training Facility","8300 Race Track Road","Bowie,MD,20715","Prince George's","Penalty Settlement","PS-16-2333","12/01/2015","12/01/2015","Surface Water Discharge Unauthorized","Industrial Minor",39.0046774743867,-76.7404726739568
"11",1152,"University of Maryland Prince George's Hospital Center","3001 Hospital Dr","Cheverly,MD,20785","Prince George's","Settlement Agreement","SA-13-1748","09/06/2012","09/26/2012","Sediment;Surface Water Discharge Unauthorized",NA,38.930599935889,-76.9210394269734
"12",1768,"Andrews Air Force Base","3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762","Prince George's","Penalty Settlement","PS-13-1820","12/12/2012","03/10/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",38.815560996959,-76.8557751632921
"13",1768,"Andrews Air Force Base","3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762","Prince George's","Penalty Settlement","SAP-13-1753","09/14/2012","11/02/2012","Sediment",NA,38.815560996959,-76.8557751632921
"14",1768,"Andrews Air Force Base","3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762","Prince George's","Penalty Settlement","C-14-2004","10/02/2013","11/12/2013","Sediment",NA,38.815560996959,-76.8557751632921
"15",1792,"US Coast Guard Yard (USCG Yard)","2401 Hawkins Point Rd","Curtis Bay,MD,21226","Anne Arundel","Penalty Settlement","C-15-2205","01/07/2015","01/22/2015","Sediment",NA,39.2042199984175,-76.5693599993995
"16",1839,"Project - Fort George G. Meade","2212 Chisholm Avenue","Fort George G. Meade,MD,20755-5115","Anne Arundel","Settlement Agreement",NA,"10/17/2013","11/26/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",39.0915220946306,-76.7219328200167
"17",1852,"Altium Packaging","7100 E Baltimore Street","Baltimore,MD,21224","Baltimore",NA,NA,"08/31/2020","09/08/2020","Stormwater Management","Industrial Stormwater",39.2952390010085,-76.5281610173765
