Site No,Site Name,Street Address,City,State,Zip,County,Inspection Type,Inspection Date,Permit No,NPDES No,Complaint Tracking No,Inspection Reason,Site Status,Site Condition,Recommended Actions,Compliance Assist?,ObjectId
136901,Casselman River Partners LLC,"From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend",Grantsville,MD,21536,Garrett,Sediment_Erosion,7/7/2016 12:00:00 AM,"15-NT-3066,16-GA-0001",,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,Y,1
136901,Casselman River Partners LLC,"From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend",Grantsville,MD,21536,Garrett,Waterway Construction,7/7/2016 12:00:00 AM,"15-NT-3066,16-GA-0001",,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,Y,2
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,NPDES Construction Activity,7/11/2016 12:00:00 AM,16-SF-0044,MDRCPS0DD,,,Active,Satisfactory/Compliance,Continue Routine Inspection,Y,3
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,State_federal SWM,7/11/2016 12:00:00 AM,16-SF-0044,MDRCPS0DD,,,Active,Satisfactory/Compliance,Continue Routine Inspection,Y,4
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,State_federal SWM,7/19/2016 12:00:00 AM,16-SF-0044,MDRCPS0DD,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,5
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,NPDES Construction Activity,7/19/2016 12:00:00 AM,16-SF-0044,MDRCPS0DD,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,6
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,Nontidal Wetlands,7/20/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,7
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,NPDES Construction Activity,7/20/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,8
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,NPDES Construction Activity,7/21/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,9
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,Nontidal Wetlands,7/21/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,10
136734,Town of Loch Lynn Heights-Wetland Boardwalk,"Starts at the end of W 2nd travles along Little Youghiogheny River then connects to existing trails, around Loch Lynn ball park",Loch Lynn Heights,MD,21550,Garrett,Nontidal Wetlands,7/26/2016 12:00:00 AM,"12-NT-3165,14-GA-0089",MDRCL00M3,,,Complete,Satisfactory/Compliance,Close File,N,11
136734,Town of Loch Lynn Heights-Wetland Boardwalk,"Starts at the end of W 2nd travles along Little Youghiogheny River then connects to existing trails, around Loch Lynn ball park",Loch Lynn Heights,MD,21550,Garrett,Sediment_Erosion,7/26/2016 12:00:00 AM,"12-NT-3165,14-GA-0089",MDRCL00M3,,,Complete,Satisfactory/Compliance,Close File,N,12
136734,Town of Loch Lynn Heights-Wetland Boardwalk,"Starts at the end of W 2nd travles along Little Youghiogheny River then connects to existing trails, around Loch Lynn ball park",Loch Lynn Heights,MD,21550,Garrett,NPDES Construction Activity,7/26/2016 12:00:00 AM,"12-NT-3165,14-GA-0089",MDRCL00M3,,,Complete,Satisfactory/Compliance,Close File,N,13
131871,Carroll County Bureau of Building Construction N side of Woodbine Road between Braddock and Bethel,"North side of Woodbine Road between , intersections with Braddock and Bethel Roads, 7200 ft (1.36mi) south of intersection of Woodbine Road and MD 26 (Liverty Road)",Woodbine,MD,,Howard,Nontidal Wetlands,7/27/2016 12:00:00 AM,10-NT-3165,,,,Complete,Satisfactory/Compliance,Close File,N,14
145066,UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center),"0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center",College Park,MD,20740,Prince George's,NPDES Construction Activity,8/2/2016 12:00:00 AM,14-SF-0181,MDRCQS05B,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,15
145066,UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center),"0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center",College Park,MD,20740,Prince George's,State_federal SWM,8/2/2016 12:00:00 AM,14-SF-0181,MDRCQS05B,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,16
137894,Towson University - Osler Drive,"Towson University - Osler Drive, adjacent to the driveway to the Union Garage off of Osler Drive, just south of intersection, with Towsontown Bld",Towson,MD,21284,Baltimore,Waterway Construction,8/5/2016 12:00:00 AM,13-NT-0048,,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,17
144271,FR DPW-Bridge No F-20-04-Lewistown Road,"Lewistown Road over Fishing Creek, Lewistown Road approximately 0.5 miles east of Hessong Bridge Road.",Thurmont,MD,21788,Frederick,Waterway Construction,8/8/2016 12:00:00 AM,14-NT-3253,,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,18
152348,Bowman Oakridge Mills,"situate along the E side of MD Rte 63, N of the intersection with Oakridge Dr,, across from E. Russel Hicks Middle School",Hagerstown,MD,21740,Washington,NPDES Construction Activity,8/15/2016 12:00:00 AM,16-WA-0116,MDRCV02CF,,,Active,Noncompliance,Continue Routine Inspection,N,19
152348,Bowman Oakridge Mills,"situate along the E side of MD Rte 63, N of the intersection with Oakridge Dr,, across from E. Russel Hicks Middle School",Hagerstown,MD,21740,Washington,Sediment_Erosion,8/15/2016 12:00:00 AM,16-WA-0116,MDRCV02CF,,,Active,Noncompliance,Continue Routine Inspection,N,20
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,NPDES Construction Activity,8/15/2016 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,21
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,State_federal SWM,8/15/2016 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,22
