Site.No,Site.Name,Street.Address,County,city,state,zip,Type,ObjectId,x,y
34,Smithsonian Paul E Garber Facility,3904 Old Silver Hill Road,Prince George's,Suitland,MD,20746-3190,Violation,1,-76.9442726378116,38.8418866689892
42,Certainteed Corporation,10131 Governor Lane Blvd,Washington,Williamsport,MD,21795,Violation,2,-77.8045200169326,39.5916699942161
46,"Dickerson Generating Station/GenOn Mid-Atlantic, LLC.",21200 Martinsburg Road,Montgomery,Dickerson,MD,20842,Violation,3,-77.445023961796,39.2042740194436
67,AAI Corporation,124 Industry Ln,Baltimore,Hunt Valley,MD,21030,Violation,4,-76.6403689686615,39.468392985873
88,NuStar Terminals Operations Partnership L.P.,17877 Piney Point Rd,St. Mary's,Piney Point,MD,20674,Violation,5,-76.5234710372456,38.1585930812479
93,Dundalk Marine Terminal,2700 Broening Hwy,Baltimore City,Dundalk,MD,21222,Violation,6,-76.533659965455,39.256989987975
120,Tradepoint Atlantic,1600 Sparrows Point Blvd,Baltimore,Baltimore,MD,21219,Violation,7,-76.4700119829723,39.2250139915706
143,St. Agnes Hospital,900 S Caton Ave,Baltimore City,Baltimore,MD,21229,Violation,8,-76.671386606951,39.2735899152606
167,GAF,1500 S Ponca St,Baltimore City,Highlandtown,MD,21224,Violation,9,-76.5545729815262,39.2753699928912
229,"Foulger-Pratt Development, LLC - Remedial Dewateri",8021 Georgia Ave,Montgomery,Silver Spring,MD,21910,Violation,10,-77.0263039769322,38.9875859807374
355,Exxon Service Station,12601 Old Columbia Pike,Montgomery,Silver Spring,MD,20904,Violation,11,-76.9650549795517,39.0638509901369
439,"Curtis Bay Energy, LP",3200 Hawkins Point Road,Baltimore City,Baltimore,MD,21226,Violation,12,-76.5559699929471,39.2028130118857
503,Father Martin's Ashley,800 Tydings Lane,Harford,Havre De Grace,MD,21078,Violation,13,-76.1269759743822,39.5038410179556
641,"Daniel G. Schuster, LLC",3717 Crondall Lane,Baltimore,Owings Mills,MD,21117,Violation,14,-76.7790929161926,39.4339433621476
643,Brown Station Road Sanitary Landfill,3500 Brown Station Rd,Prince George's,Upper Marlboro,MD,20774,Violation,15,-76.7762960295218,38.8410605064128
731,Southern MD Agricultural Association/Bowie Training Facility,8300 Race Track Road,Prince George's,Bowie,MD,20715,Violation,16,-76.7404726739568,39.0046774743867
732,A&A GLOBAL INDUSTRIES INC,17 Stenersen Lane,Baltimore,Cockeysville,MD,21030,Violation,17,-76.6477359912211,39.4805070149933
1152,University of Maryland Prince George's Hospital Center,3001 Hospital Dr,Prince George's,Cheverly,MD,20785,Violation,18,-76.9210394269734,38.930599935889
1671,Southern Middle School,5235 Solomons Island Rd,Anne Arundel,Lothian,MD,20711,Violation,19,-76.6099139937434,38.8236839833417
1767,Blossom Point Field Test Area,"South End of Blossom Point Rd, Blossom Point",Charles,La Plata,MD,20646,Violation,20,-76.9775499998764,38.5295800002058
1768,Andrews Air Force Base,"3466 North Carolina Ave, 316 CES/CEV",Prince George's,Andrews Airforce Base,MD,20762,Violation,21,-76.8557751632921,38.815560996959
1788,Naval Support Facility Indian Head,"3972 Ward Rd, Ste 101, Environmental Program Office",Charles,Indian Head,MD,20640-5157,Violation,22,-77.1815796512713,38.5966733469944
1792,US Coast Guard Yard (USCG Yard),2401 Hawkins Point Rd,Anne Arundel,Curtis Bay,MD,21226,Violation,23,-76.5693599993995,39.2042199984175
1806,National Institutes of Health,"9000 Rockville Pike, Bldg 13 Rm 2W64, 38.99683°, -77.10376°",Montgomery,Bethesda,MD,20892,Violation,24,-77.100159021915,38.999874982418
1839,Project - Fort George G. Meade,2212 Chisholm Avenue,Anne Arundel,Fort George G. Meade,MD,20755-5115,Violation,25,-76.7219328200167,39.0915220946306
1842,NASA Goddard Space Flight Center,"8800 Greenbelt Rd, Attn: Code 250",Prince George's,Greenbelt,MD,20771,Violation,26,-76.8528250680513,38.9913689016744
1852,Altium Packaging,7100 E Baltimore Street,Baltimore,Baltimore,MD,21224,Violation,27,-76.5281610173765,39.2952390010085
1872,Westminster City Of,City Hall,Carroll,Westminster,MD,21157,Violation,28,-76.9962149999154,39.5714849999448
1873,Luke Paper Company,300 Pratt Street,Allegany,Luke,MD,21540-1099,Violation,29,-79.0567600074916,39.4753500069262
1884,NRG Vienna Generating Station,4621 Chapel of Ease Road,Dorchester,Vienna,MD,21869,Violation,30,-75.8240039569964,38.4889623841408
1916,City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site,1 Clean Water Circle,Washington,Hagerstown,MD,21740,Violation,31,-77.7080200040108,39.6218199934291
1919,GenOn Chalk Point LLC Generating Station,25100 Chalk Point Road,Prince George's,Aquasco,MD,20608,Violation,32,-76.6840318112182,38.5435235635236
1974,Elkton WWTP,200 W Pulaski Hwy,Cecil,Elkton,MD,21921,Violation,33,-75.8342570330019,39.6009760023203
2087,Perdue AgriBusiness LLC,6906 Zion Church Road,Wicomico,Salisbury,MD,21804,Violation,34,-75.5277620144129,38.3820130060142
2102,W. R. Grace & Co. - Davison Chemical,5500 Chemical Rd,Baltimore City,Curtis Bay,MD,21226-1698,Violation,35,-76.5709829874199,39.2158770046668
2107,Eastman Specialties Corporation,10380 Worton Road,Kent,Chestertown,MD,21620,Violation,36,-76.0878400300031,39.2628289892088
2173,"Adell Plastics, Inc",4530 Annapolis Rd,Baltimore,Lansdowne,MD,21227,Violation,37,-76.6428039950712,39.229803997852
2184,Congoleum Corporation,2700 Emory Road,Carroll,Finksburg,MD,21048,Violation,38,-76.8833299991806,39.5004400186042
2193,Alliant Techsystems Operations LLC,55 Thiokol Road,Cecil,Elkton,MD,21921,Violation,39,-75.8645599599733,39.6111220023147
2199,QRS Recycling,8203 Fischer Road,Baltimore,Dundalk,MD,21222,Violation,40,-76.4634450134794,39.272756012826
2201,Murray Corporation,260 Schilling Circle,Baltimore,Hunt Valley,MD,21031,Violation,41,-76.6622739826229,39.4886880040976
2233,Evonik Corporation,907 Revolution Street,Harford,Havre De Grace,MD,21078,Violation,42,-76.0982409660094,39.5445100120581
2254,Hi Tech Color Inc,1721 Midway Road,Anne Arundel,Odenton,MD,21113,Violation,43,-76.6961060265278,39.1082229832765
2345,AMG Resources Corporation,2415 Grays Road,Baltimore,Dundalk,MD,21222,Violation,44,-76.4644360061548,39.2446990167512
2348,"Cristal USA, Inc",3901 Fort Armistead Rd,Baltimore City,Curtis Bay,MD,21226,Violation,45,-76.5440990385384,39.2063090201599
2468,"Brian Baker, Inc",2001 Conowingo Rd,Harford,Bel Air,MD,21014,Violation,46,-76.3498190122296,39.5769219937366
2493,Solo Cup Operating Corporation,1000 Industrial Park Dr,Caroline,Federalsburg,MD,21632,Violation,47,-75.7630479909599,38.6866634485515
2697,LKQ Pick Your Part (1206),8125 Washington Blvd,Howard,Jessup,MD,20794,Violation,48,-76.7918670071435,39.1636310092658
2756,Cropper Bros Lumber,7504 Main Street,Wicomico,Willards,MD,21874,Violation,49,-75.3510089664086,38.3963759837995
2824,Prince Specialty Products LLC,610 Pittman Rd,Anne Arundel,Curtis Bay,MD,21226,Violation,50,-76.5631800223344,39.1951739970149
9124,Bay Bridge Marina,357 Pier One Road,Queen Anne's,Stevensville,MD,21666,Violation,51,-76.3321989945129,38.9804850003567
9164,Mount Saint Mary's University,16300 Old Emmitsburg Rd,Frederick,Emmitsburg,MD,21727,Violation,52,-77.3506699674941,39.6842950116367
9165,"Joseph Smith & Sons, Inc",2001 Kenilworth Ave,Prince George's,Capitol Heights,MD,20743,Violation,53,-76.9309016585752,38.9161251016854
9229,Bel Air High School,100 Heighe St,Harford,Bel Air,MD,21014,Violation,54,-76.3479240314091,39.5309470033059
9256,"John W. Ritter Trucking, Inc",8271 Brock Bridge Rd,Anne Arundel,Laurel,MD,20724-1412,Violation,55,-76.8075699993827,39.1215979859626
9283,"United Iron And Metal, LLC",909 Millington Ave,Baltimore City,Franklin,MD,21223,Violation,56,-76.6562430360634,39.2779410162266
9340,"Paradise Auto Parts, Inc","929 W Pulaski Hwy, Ste A",Cecil,Elkton,MD,21921,Violation,57,-75.8842730226577,39.6094630145691
9359,"Imerys Carbonates USA, Inc.",10000 B Beaver Dam Rd,Baltimore,Cockeysville,MD,21030,Violation,58,-76.6456599612433,39.4645599829417
9440,Holly Hills Country Club,5502 Mussetter Road,Frederick,Ijamsville,MD,21754,Violation,59,-77.309318015853,39.3854750084688
9467,Charles County Municipal Landfill,12305 Billingsley Road,Charles,Waldorf,MD,20602,Violation,60,-76.8837200090494,38.5718100138303
9561,"Bob's Auto Collision, Inc.",4105 Annapolis Road,Baltimore,Halethorpe,MD,21227,Violation,61,-76.6408410369365,39.2386940119599
9680,Anne Arundel County Dept of Public Works/ Parking Lot,2644 Riva Rd,Anne Arundel,Annapolis,MD,21401,Violation,62,-76.5594000355863,38.9762469844468
9695,Laurel Ready Mix Concrete,5501 Van Dusen Rd,Prince George's,Laurel,MD,20707,Violation,63,-76.9122831185044,39.0800022570581
9791,Maryland State Police Aviation - Washington,"East Perimeter Rd, Bldg 2487",Prince George's,Andrews Airforce Base,MD,20762,Violation,64,-76.8564195706595,38.8060143872668
10107,North Caroline High School,10990 River Rd,Caroline,Ridgely,MD,21660,Violation,65,-75.8408690134804,38.9088540101825
10214,"Shoreline Automotive, Inc",29545 Chilcutt Rd,Talbot,Easton,MD,21601,Violation,66,-76.0513449717608,38.7703589854962
10261,CSX Transportation - Curtis Bay Piers,1910 Benhill Ave,Baltimore City,Curtis Bay,MD,21226,Violation,67,-76.5820249710945,39.2234280094306
10332,Darnestown Elementary School,15030 Turkey Foot Rd,Montgomery,Darnestown,MD,20878,Violation,68,-77.2847779826518,39.1024670050258
10400,Patuxent Water Reclamation Facility,1640 Professional blvd,Anne Arundel,Crofton,MD,21114,Violation,69,-76.7015779838253,39.0173559862753
10566,ExxonMobil Oil Corporation No. 20356,120 Chester Station Lane,Queen Anne's,Chester,MD,21619,Violation,70,-76.2802819891545,38.9761650092298
10585,Calvert County Board Of Commissioners,401 Sweetwater Rd,Calvert,Lusby,MD,20657,Violation,71,-76.4439799711534,38.3825499932808
10610,West Nottingham Academy,1079 Firetower Road,Cecil,Colora,MD,21917,Violation,72,-76.0792560390668,39.6693460129887
10856,"Toyota Motor Sales, USA, Inc",6710 Baymeadow Dr,Anne Arundel,Glen Burnie,MD,21060,Violation,73,-76.5986300245926,39.1908589934586
11104,Davidsonville Transmitter Site,3290 Bottner Road,Anne Arundel,Gambrills,MD,21054,Violation,74,-76.6830200315272,38.966689980359
11313,Hampstead WWTP,4455 Northwoods Trail,Carroll,Hampstead,MD,21074,Violation,75,-76.8371872746371,39.5972909763908
11433,Wawa Food Market 582,2300 E. Churchville Rd,Harford,Bel Air,MD,21015,Violation,76,-76.2782050375053,39.555941000688
11561,Oak Hill/DC Department of General Services,8400 RIVER ROAD,Anne Arundel,LAUREL,MD,20724,Violation,77,-76.7873059945447,39.1011039815539
12130,B & P Environmental LLC,1230 Cronson Blvd.,Anne Arundel,Crofton,MD,21114,Violation,78,-76.6999979954626,39.0154929830445
12934,12934 Community Rd,12934 Community Rd,Baltimore,Middle River,MD,21220,Violation,79,-76.3698329853814,39.3772640124796
13670,Quarantine Road Municipal Landfill,6100 Quarantine Road,Baltimore City,Curtis Bay,MD,21226,Violation,80,-76.562539979881,39.2089900135657
17147,Vessel at Schaefer's Canal House Marina,208 Bank Street,Cecil,Chesapeake City,MD,21915,Violation,81,-75.8122999670597,39.529827013335
17715,Valvoline Instant Oil Change BA-0011,57 Mayo Rd,Anne Arundel,Edgewater,MD,21037,Violation,82,-76.5596110076257,38.9375230106411
17910,Liberty Square Shopping Center,8700 Liberty Road,Baltimore,Randallstown,MD,21133,Violation,83,-76.7828449779118,39.3640589944145
18340,Columbia Country Club,7900 Connecticut Ave,Montgomery,Chevy Chase,MD,20815,Violation,84,-77.0787529816698,38.9891150074048
18426,Mystic Harbour WWTP,9423 Stephen Decatur Hwy.,Worcester,Berlin,MD,21811,Violation,85,-75.1222893610766,38.3225974931879
18549,City of Bowie WWTP,16550 Annapolis Rd,Prince George's,Bowie,MD,20715,Violation,86,-76.7214761192212,38.9943558348854
18646,Campus Hills Shopping Center,2300-2400 Churchville Rd,Harford,Churchville,MD,21015,Violation,87,-76.245459855381,39.5588018281441
18734,Ocean City WWTP,6405 Seabay Drive,Worcester,Ocean City,MD,21842,Violation,88,-75.068526969088,38.3872337080465
18826,Pocomoke City WWTP,1634 Dunn Swamp Road,Worcester,Pocomoke City,MD,21851,Violation,89,-75.5655000248015,38.0471579860491
18838,Hebron WWTP,26126 Rewastico Rd,Wicomico,Hebron,MD,21830,Violation,90,-75.7073400151525,38.4187200002937
18883,Joppatowne WWTP,101 Shore Dr,Harford,Joppa,MD,21085,Violation,91,-76.3657847536046,39.4109830792967
18911,Pompeian Inc.,4201 Pulaski Hwy,Baltimore City,Baltimore,MD,21224,Violation,92,-76.5621728563907,39.2972057644276
18954,Mattawoman WWTP,5310 Hawthorne Road,Charles,La Plata,MD,20646,Violation,93,-77.1109089803587,38.582757994498
19004,CSX Transportation Inc,"1910 Benhill Ave, 1915 Benhill Ave",Baltimore City,Baltimore City,MD,21226,Violation,94,-76.5820249710945,39.2234280094306
19069,Cecil County Central Landfill,758 E old Philadelphia Rd,Cecil,Elkton,MD,21921,Violation,95,-75.911350006019,39.5971720011332
19072,La Plata WWTP,6505 Curley Hall Road,Charles,La Plata,MD,20646,Violation,96,-76.9857037409108,38.528346767954
19080,Winters Apartments WWTP,Rte 5 at Winters Lane,St. Mary's,Leonardtown,MD,20650,Violation,97,-76.5612099396612,38.2416800402087
19200,Sandy Hill Camp & Conference and Activity Center,3380 Turkey Point road,Cecil,North East,MD,21901,Violation,98,-75.9470320197589,39.4991039857541
19204,Queen City Metals & Recycling,220 W. King St,Allegany,Cumberland,MD,21502,Violation,99,-78.7690671562956,39.6309493110054
19206,Daniel G. Schuster Concrete/Hagerstown Ready Mix Concrete Plant,1000 Sherman Avenue,Washington,Hagerstown,MD,21740,Violation,100,-77.7392900347592,39.6290800203415
23493,Eastern Correctional Institution WTP and WWTP,30209 Perry Road,Somerset,Westover,MD,21871,Violation,101,-75.7088622229779,38.1580342415661
19215,Northern High School WWTP,7881 Flint Hill Rd,Calvert,Owings,MD,20736,Violation,102,-76.6546024967589,38.6853626317157
19253,Annapolis Bus Company/Towne Transport,2404 Nichols Road,Anne Arundel,Annapolis,MD,21401,Violation,103,-76.5598929753187,38.9842630176034
19262,"Daniel G. Schuster, Inc. - Frederick Plant",530 E South St,Frederick,Frederick,MD,21701,Violation,104,-77.3998770197449,39.4084369804386
19332,Denton WWTP,650 Legion Rd,Caroline,Denton,MD,21629,Violation,105,-75.8162220268616,38.87303201875
19367,Deep Creek Lake WWTP,762 Mayhew Inn Road,Garrett,Oakland,MD,21550,Violation,106,-79.3947549716428,39.5042420083532
19370,Triumph Industial Park WWTP,505 Blue Ball Road,Cecil,Elkton,MD,21921,Violation,107,-75.8521499651902,39.6205399927476
19407,Town of Bel Air - DPW,705 E Churchville Rd,Harford,Bel Air,MD,21014,Violation,108,-76.3296049627046,39.5384210206036
19444,Glen Arm Maintenance Facility WWTP & WTP,12200 Long Green Pike,Baltimore,Glen Arm,MD,21057,Violation,109,-76.4937890114256,39.4572399834135
19481,Woodsboro WWTP,SE OF WOODSBORO PIKE & WOODSBORO ROAD,Frederick,Woodsboro,MD,21798,Violation,110,-77.311419946057,39.5325900241045
19497,Crisfield WWTP,104 7th Street,Somerset,Crisfield,MD,21817,Violation,111,-75.8593999758959,37.9822600108595
19542,Waste Management of Maryland - Pocomoke,805 Ocean Highway,Worcester,Pocomoke City,MD,21851,Violation,112,-75.5426900156835,38.0267749995088
19594,Hurlock WWTP,6215 Jones Village Rd,Dorchester,Hurlock,MD,21643,Violation,113,-75.8467966780367,38.6195179130296
19714,Happy Hills Campground,12617 Seavolt Rd,Washington,Hancock,MD,21750,Violation,114,-78.2479543557733,39.6569081679686
19716,Chesapeake Beach WWTP,8450 Bayside Rd,Calvert,Chesapeake Beach,MD,20732,Violation,115,-76.5342010333271,38.6991276856691
19722,"NVA Properties, LLC",13400 Edgemeade Rd,Prince George's,Upper Marlboro,MD,20772,Violation,116,-76.7746796629833,38.7191083835673
19730,Glenelg Country School,12793 Folly Quarter Rd,Howard,Ellicott City,MD,21042,Violation,117,-76.9618000356293,39.2517559923505
19755,Rhode River Marina,3932 Germantown Rd,Anne Arundel,Edgewater,MD,21037,Violation,118,-76.5250309635331,38.8922119928319
19786,Colonel Richardson High School,25320 Richardson Rd,Caroline,Federalsburg,MD,21632,Violation,119,-75.8283769602911,38.7548009998137
19791,Hunter Hill WWTP,13301 Hunter Hill Dr,Washington,Hagerstown,MD,21742,Violation,120,-77.6855817069777,39.6801527962449
19873,Pleasure Cove Marina,1701 Poplar Ridge Rd,Anne Arundel,Pasadena,MD,21122,Violation,121,-76.4734759720478,39.1275830005868
19880,Kelly Foods Corporation,10313 OLD OCEAN CITY BLVD,Worcester,Berlin,MD,21811,Violation,122,-75.2072299903646,38.3397299930531
19976,"Strongs Bay Seafood, Inc",1719-A Little Creek Rd,Queen Anne's,Chester,MD,21619,Violation,123,-76.282823968982,38.9387300048075
20024,Perryville WWTP,72 Ikea Way,Cecil,Perryville,MD,21903,Violation,124,-76.0647391922102,39.5622383574158
20072,"Concrete General, Inc",8000 Beechcraft Avenue,Montgomery,Gaithersburg,MD,20879,Violation,125,-77.1646750329821,39.164442000768
20087,Emmitsburg WWTP,16707 Creamery Road,Frederick,Emmitsburg,MD,21727,Violation,126,-77.3097849718157,39.6969389869305
20095,Mountain Christian Church,1824 Mountain Road,Harford,Joppa,MD,21085,Violation,127,-76.3740840351897,39.4680399814732
