"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enf..Issue","Resolved.Date","Violation.SNC..Date","Latitude","Longitude"
"1",34,"Smithsonian Paul E Garber Facility","3904 Old Silver Hill Road","Suitland,MD,20746-3190","Prince George's","Environmental/Health Impact","03/20/2017","10/19/2009",38.8418866689892,-76.9442726378116
"2",42,"Certainteed Corporation","10131 Governor Lane Blvd","Williamsport,MD,21795","Washington","Environmental/Health Impact","06/23/2016","11/17/2015",39.5916699942161,-77.8045200169326
"3",46,"Dickerson Generating Station/GenOn Mid-Atlantic, LLC.","21200 Martinsburg Road","Dickerson,MD,20842","Montgomery","Environmental/Health Impact","07/06/2017","11/27/2016",39.2042740194436,-77.445023961796
"4",46,"Dickerson Generating Station/GenOn Mid-Atlantic, LLC.","21200 Martinsburg Road","Dickerson,MD,20842","Montgomery","Environmental/Health Impact","08/26/2016","07/20/2012",39.2042740194436,-77.445023961796
"5",67,"AAI Corporation","124 Industry Ln","Hunt Valley,MD,21030","Baltimore","Environmental/Health Impact","11/26/2015","08/04/2015",39.468392985873,-76.6403689686615
"6",88,"NuStar Terminals Operations Partnership L.P.","17877 Piney Point Rd","Piney Point,MD,20674","St. Mary's","Environmental/Health Impact","10/11/2013","03/01/2010",38.1585930812479,-76.5234710372456
"7",93,"Dundalk Marine Terminal","2700 Broening Hwy","Dundalk,MD,21222","Baltimore City","Environmental/Health Impact","12/01/2016","03/23/2011",39.256989987975,-76.533659965455
"8",120,"Tradepoint Atlantic","1600 Sparrows Point Blvd","Baltimore,MD,21219","Baltimore",NA,"04/05/2015","04/19/2013",39.2250139915706,-76.4700119829723
"9",143,"St. Agnes Hospital","900 S Caton Ave","Baltimore,MD,21229","Baltimore City",NA,"08/21/2012","06/20/2012",39.2735899152606,-76.671386606951
"10",167,"GAF","1500 S Ponca St","Highlandtown,MD,21224","Baltimore City","Environmental/Health Impact","02/20/2015","10/06/2014",39.2753699928912,-76.5545729815262
"11",229,"Foulger-Pratt Development, LLC - Remedial Dewateri","8021 Georgia Ave","Silver Spring,MD,21910","Montgomery","Environmental/Health Impact","08/22/2014","06/18/2014",38.9875859807374,-77.0263039769322
"12",355,"Exxon Service Station","12601 Old Columbia Pike","Silver Spring,MD,20904","Montgomery","Environmental/Health Impact","11/11/2020","01/29/2020",39.0638509901369,-76.9650549795517
"13",355,"Exxon Service Station","12601 Old Columbia Pike","Silver Spring,MD,20904","Montgomery",NA,NA,NA,39.0638509901369,-76.9650549795517
"14",439,"Curtis Bay Energy, LP","3200 Hawkins Point Road","Baltimore,MD,21226","Baltimore City","Environmental/Health Impact",NA,"01/29/2020",39.2028130118857,-76.5559699929471
"15",503,"Father Martin's Ashley","800 Tydings Lane","Havre De Grace,MD,21078","Harford","Environmental/Health Impact","03/01/2019","03/09/2017",39.5038410179556,-76.1269759743822
