OBJECTID,mde6digt,mde6name,mde8digt,mde8name,dnr12dig,straname,hua14,hua11,hua8,cbi
"1137","050202",YOUGHIOGHENY RIVER,"05020201",Youghiogheny River,"050202010024",NOT A STRATEGY SHED,"05020004150500","05020004150","05020004",0.000000000000000
"1138","050202",YOUGHIOGHENY RIVER,"05020201",Youghiogheny River,"050202010019",NOT A STRATEGY SHED,"05020006010118","05020006010","05020006",3.375000000000000
"1139","050202",YOUGHIOGHENY RIVER,"05020201",Youghiogheny River,"050202010023",NOT A STRATEGY SHED,"05020006010121","05020006010","05020006",0.000000000000000
"1140","050202",YOUGHIOGHENY RIVER,"05020201",Youghiogheny River,"050202010020",NOT A STRATEGY SHED,"05020006010119","05020006010","05020006",4.000000000000000
"1141","050202",YOUGHIOGHENY RIVER,"05020201",Youghiogheny River,"050202010021",NOT A STRATEGY SHED,"05020006010122","05020006010","05020006",3.905303000000000
"1142","050202",YOUGHIOGHENY RIVER,"05020201",Youghiogheny River,"050202010022",NOT A STRATEGY SHED,"05020006070176","05020006070","05020006",3.562500000000000
"1143","050202",YOUGHIOGHENY RIVER,"05020204",Casselman River,"050202040034",NOT A STRATEGY SHED,"05020006050155","05020006050","05020006",3.266667000000000
"1144","050202",YOUGHIOGHENY RIVER,"05020204",Casselman River,"050202040035",NOT A STRATEGY SHED,"05020006050160","05020006050","05020006",0.000000000000000
"1145","050202",YOUGHIOGHENY RIVER,"05020204",Casselman River,"050202040036",NOT A STRATEGY SHED,"05020006050161","05020006050","05020006",3.375000000000000
"1146","021410",NORTH BRANCH POTOMAC RIVER,"02141002",Evitts Creek,"021410020108",UPPER POTOMAC,"02070002130227","02070002130","02070002",3.125000000000000
"1147","050202",YOUGHIOGHENY RIVER,"05020204",Casselman River,"050202040037",NOT A STRATEGY SHED,"05020006050158","05020006050","05020006",2.812500000000000
"1148","050202",YOUGHIOGHENY RIVER,"05020204",Casselman River,"050202040038",NOT A STRATEGY SHED,"05020006050157","05020006050","05020006",2.968750000000000
"1149","021410",NORTH BRANCH POTOMAC RIVER,"02141006",Savage River,"021410060086",UPPER POTOMAC,"05020006050156","05020006050","05020006",0.000000000000000
"1150","021410",NORTH BRANCH POTOMAC RIVER,"02141006",Savage River,"021410060085",UPPER POTOMAC,"02070002070150","02070002070","02070002",0.000000000000000
"1151","021410",NORTH BRANCH POTOMAC RIVER,"02141003",Wills Creek,"021410030099",UPPER POTOMAC,"02070002070151","02070002070","02070002",2.583333000000000
"1152","021410",NORTH BRANCH POTOMAC RIVER,"02141003",Wills Creek,"021410030102",UPPER POTOMAC,"02070002070152","02070002070","02070002",2.458333000000000
"1153","021410",NORTH BRANCH POTOMAC RIVER,"02141003",Wills Creek,"021410030103",UPPER POTOMAC,"02070002070153","02070002070","02070002",2.750000000000000
"1154","021410",NORTH BRANCH POTOMAC RIVER,"02141002",Evitts Creek,"021410020107",UPPER POTOMAC,"02070002130226","02070002130","02070002",3.098958000000000
"1155","021405",UPPER POTOMAC RIVER,"02140512",Town Creek,"021405120133",UPPER POTOMAC,"02070003060100","02070003060","02070003",3.916667000000000
"1156","021405",UPPER POTOMAC RIVER,"02140512",Town Creek,"021405120131",UPPER POTOMAC,"02070003060126","02070003060","02070003",3.843750000000000
"1157","021410",NORTH BRANCH POTOMAC RIVER,"02141006",Savage River,"021410060084",UPPER POTOMAC,"02070002050126","02070002050","02070002",2.875000000000000
