Site No,Site Name,Street Address,"City, State Zip",County,Enf. Issue,Resolved Date,Violation(SNC) Date
34,Smithsonian Paul E Garber Facility,3904 Old Silver Hill Road,"Suitland,MD,20746-3190",Prince George's,Environmental/Health Impact,03/20/2017,10/19/2009
42,Certainteed Corporation,10131 Governor Lane Blvd,"Williamsport,MD,21795",Washington,Environmental/Health Impact,06/23/2016,11/17/2015
46,"Dickerson Generating Station/GenOn Mid-Atlantic, LLC.",21200 Martinsburg Road,"Dickerson,MD,20842",Montgomery,Environmental/Health Impact,07/06/2017,11/27/2016
46,"Dickerson Generating Station/GenOn Mid-Atlantic, LLC.",21200 Martinsburg Road,"Dickerson,MD,20842",Montgomery,Environmental/Health Impact,08/26/2016,07/20/2012
67,AAI Corporation,124 Industry Ln,"Hunt Valley,MD,21030",Baltimore,Environmental/Health Impact,11/26/2015,08/04/2015
88,NuStar Terminals Operations Partnership L.P.,17877 Piney Point Rd,"Piney Point,MD,20674",St. Mary's,Environmental/Health Impact,10/11/2013,03/01/2010
93,Dundalk Marine Terminal,2700 Broening Hwy,"Dundalk,MD,21222",Baltimore City,Environmental/Health Impact,12/01/2016,03/23/2011
120,Tradepoint Atlantic,1600 Sparrows Point Blvd,"Baltimore,MD,21219",Baltimore,,04/05/2015,04/19/2013
143,St. Agnes Hospital,900 S Caton Ave,"Baltimore,MD,21229",Baltimore City,,08/21/2012,06/20/2012
167,GAF,1500 S Ponca St,"Highlandtown,MD,21224",Baltimore City,Environmental/Health Impact,02/20/2015,10/06/2014
229,"Foulger-Pratt Development, LLC - Remedial Dewateri",8021 Georgia Ave,"Silver Spring,MD,21910",Montgomery,Environmental/Health Impact,08/22/2014,06/18/2014
355,Exxon Service Station,12601 Old Columbia Pike,"Silver Spring,MD,20904",Montgomery,Environmental/Health Impact,11/11/2020,01/29/2020
355,Exxon Service Station,12601 Old Columbia Pike,"Silver Spring,MD,20904",Montgomery,,,
439,"Curtis Bay Energy, LP",3200 Hawkins Point Road,"Baltimore,MD,21226",Baltimore City,Environmental/Health Impact,,01/29/2020
503,Father Martin's Ashley,800 Tydings Lane,"Havre De Grace,MD,21078",Harford,Environmental/Health Impact,03/01/2019,03/09/2017
503,Father Martin's Ashley,800 Tydings Lane,"Havre De Grace,MD,21078",Harford,Environmental/Health Impact,03/23/2017,04/03/2015
641,"Daniel G. Schuster, LLC",3717 Crondall Lane,"Owings Mills,MD,21117",Baltimore,Environmental/Health Impact,11/30/2018,06/11/2018
643,Brown Station Road Sanitary Landfill,3500 Brown Station Rd,"Upper Marlboro,MD,20774",Prince George's,Environmental/Health Impact,,08/15/2017
731,Southern MD Agricultural Association/Bowie Training Facility,8300 Race Track Road,"Bowie,MD,20715",Prince George's,Environmental/Health Impact,12/01/2015,12/09/2009
732,A&A GLOBAL INDUSTRIES INC,17 Stenersen Lane,"Cockeysville,MD,21030",Baltimore,,04/21/2016,10/02/2015
1152,University of Maryland Prince George's Hospital Center,3001 Hospital Dr,"Cheverly,MD,20785",Prince George's,Environmental/Health Impact,09/06/2012,08/03/2009
1671,Southern Middle School,5235 Solomons Island Rd,"Lothian,MD,20711",Anne Arundel,Environmental/Health Impact,11/23/2020,04/10/2018
1671,Southern Middle School,5235 Solomons Island Rd,"Lothian,MD,20711",Anne Arundel,,,
1767,Blossom Point Field Test Area,"South End of Blossom Point Rd, Blossom Point","La Plata,MD,20646",Charles,Environmental/Health Impact,06/24/2015,11/19/2009
1768,Andrews Air Force Base,"3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762",Prince George's,Environmental/Health Impact,11/12/2013,06/12/2013
1768,Andrews Air Force Base,"3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762",Prince George's,Environmental/Health Impact,01/22/2013,09/26/2012
1768,Andrews Air Force Base,"3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762",Prince George's,Environmental/Health Impact,09/14/2012,02/23/2010
1788,Naval Support Facility Indian Head,"3972 Ward Rd, Ste 101, Environmental Program Office","Indian Head,MD,20640-5157",Charles,,09/25/2019,06/17/2019
1792,US Coast Guard Yard (USCG Yard),2401 Hawkins Point Rd,"Curtis Bay,MD,21226",Anne Arundel,Environmental/Health Impact,12/18/2014,09/24/2014
1792,US Coast Guard Yard (USCG Yard),2401 Hawkins Point Rd,"Curtis Bay,MD,21226",Anne Arundel,Environmental/Health Impact,09/20/2017,06/27/2008
1806,National Institutes of Health,"9000 Rockville Pike, Bldg 13 Rm 2W64, 38.99683°, -77.10376°","Bethesda,MD,20892",Montgomery,Environmental/Health Impact,08/08/2018,07/09/2018
1839,Project - Fort George G. Meade,2212 Chisholm Avenue,"Fort George G. Meade,MD,20755-5115",Anne Arundel,Environmental/Health Impact,10/17/2013,03/02/2012
1839,Project - Fort George G. Meade,2212 Chisholm Avenue,"Fort George G. Meade,MD,20755-5115",Anne Arundel,Environmental/Health Impact,05/26/2017,12/08/2011
1842,NASA Goddard Space Flight Center,"8800 Greenbelt Rd, Attn: Code 250","Greenbelt,MD,20771",Prince George's,Environmental/Health Impact,04/16/2018,06/30/2014
1852,Altium Packaging,7100 E Baltimore Street,"Baltimore,MD,21224",Baltimore,Environmental/Health Impact,08/31/2020,06/24/2015
1872,Westminster City Of,City Hall,"Westminster,MD,21157",Carroll,Environmental/Health Impact,02/13/2013,01/13/2013
1873,Luke Paper Company,300 Pratt Street,"Luke,MD,21540-1099",Allegany,,12/16/2019,06/05/2019
1873,Luke Paper Company,300 Pratt Street,"Luke,MD,21540-1099",Allegany,Environmental/Health Impact,,04/09/2019
1873,Luke Paper Company,300 Pratt Street,"Luke,MD,21540-1099",Allegany,Environmental/Health Impact,04/27/2016,09/23/2015
1884,NRG Vienna Generating Station,4621 Chapel of Ease Road,"Vienna,MD,21869",Dorchester,,01/30/2019,02/28/2018
1916,City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site,1 Clean Water Circle,"Hagerstown,MD,21740",Washington,Environmental/Health Impact,,01/31/2020
1916,City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site,1 Clean Water Circle,"Hagerstown,MD,21740",Washington,Environmental/Health Impact,03/13/2017,12/15/2016
1916,City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site,1 Clean Water Circle,"Hagerstown,MD,21740",Washington,Environmental/Health Impact,03/24/2015,01/05/2014
1919,GenOn Chalk Point LLC Generating Station,25100 Chalk Point Road,"Aquasco,MD,20608",Prince George's,Environmental/Health Impact,08/26/2016,07/20/2012
1974,Elkton WWTP,200 W Pulaski Hwy,"Elkton,MD,21921",Cecil,Environmental/Health Impact,11/14/2014,09/20/2014
2087,Perdue AgriBusiness LLC,6906 Zion Church Road,"Salisbury,MD,21804",Wicomico,,,03/05/2020
2102,W. R. Grace & Co. - Davison Chemical,5500 Chemical Rd,"Curtis Bay,MD,21226-1698",Baltimore City,Environmental/Health Impact,10/26/2012,09/26/2012
2107,Eastman Specialties Corporation,10380 Worton Road,"Chestertown,MD,21620",Kent,Environmental/Health Impact,,02/28/2018
2173,"Adell Plastics, Inc",4530 Annapolis Rd,"Lansdowne,MD,21227",Baltimore,Environmental/Health Impact,,10/15/2019
2184,Congoleum Corporation,2700 Emory Road,"Finksburg,MD,21048",Carroll,,05/08/2019,12/28/2018
2184,Congoleum Corporation,2700 Emory Road,"Finksburg,MD,21048",Carroll,Environmental/Health Impact,05/26/2013,05/31/2012
2193,Alliant Techsystems Operations LLC,55 Thiokol Road,"Elkton,MD,21921",Cecil,Environmental/Health Impact,10/30/2014,08/29/2014
2199,QRS Recycling,8203 Fischer Road,"Dundalk,MD,21222",Baltimore,Environmental/Health Impact,01/03/2017,07/13/2016
2201,Murray Corporation,260 Schilling Circle,"Hunt Valley,MD,21031",Baltimore,Environmental/Health Impact,12/29/2016,07/02/2015
2201,Murray Corporation,260 Schilling Circle,"Hunt Valley,MD,21031",Baltimore,Environmental/Health Impact,07/30/2015,10/19/2010
2233,Evonik Corporation,907 Revolution Street,"Havre De Grace,MD,21078",Harford,Environmental/Health Impact,,06/30/2019
2233,Evonik Corporation,907 Revolution Street,"Havre De Grace,MD,21078",Harford,Environmental/Health Impact,08/29/2016,08/13/2015
2254,Hi Tech Color Inc,1721 Midway Road,"Odenton,MD,21113",Anne Arundel,Environmental/Health Impact,01/18/2017,01/13/2017
2345,AMG Resources Corporation,2415 Grays Road,"Dundalk,MD,21222",Baltimore,Environmental/Health Impact,,05/01/2018
2348,"Cristal USA, Inc",3901 Fort Armistead Rd,"Curtis Bay,MD,21226",Baltimore City,,04/26/2013,05/09/2012
2468,"Brian Baker, Inc",2001 Conowingo Rd,"Bel Air,MD,21014",Harford,Environmental/Health Impact,10/28/2019,12/30/2018
2493,Solo Cup Operating Corporation,1000 Industrial Park Dr,"Federalsburg,MD,21632",Caroline,Environmental/Health Impact,02/03/2015,03/13/2012
