"SiteNo","SiteName","StreetAddress","CityStateZip","County","InspectionType","InspectionDate","PermitNo","NPDESNo","ComplaintTrackingNo","InspectionReason","SiteStatus","SiteCondition","RecommendedActions","ComplianceAssist","Latitude","Longitude","Type","EnforcementAction","EnforcementActionNo","EnforcementActionIssued","CaseClosed","Media","Program","EnfIssue","ResolvedDate","ViolationSNCDate","MarkerShape","MarkerSize","InspectionCount","Construction"
"78670","Ch Govt/holly Tree La/stream","Holly Tree Lane","Waldorf,MD,20601","Charles","Waterway Construction",2018-05-23,"08-NT-0383",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.6476505040064,-76.8974969495391,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4,16,0
"132839","Mexico Farms Rd SE","Mexico Farms Rd, SE","Cumberland,MD,21502","Allegany","NPDES Construction Activity",2016-07-01,NA,NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.6014041031336,-78.7550481378032,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"140756","11-NT-3109 Water Treatment Plant Repairs Fort Detrick","Fort Detrick","Frederick,MD,21702","Frederick","Waterway Construction",2016-07-01,"11-NT-3109,11SF0363","MDRCKF03H",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.4350899999598,-77.4243800001355,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,0
"146272","City of Cambridge-Cambridge Marina at Long Wharf","1 High Street, end of High Street","Cambridge,MD,21613","Dorchester","Sediment_Erosion",2016-11-07,"16-DO-0104",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.5746109471183,-76.073182176393,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,6,1
"153372","32019 Peters Point Ln, Marion Station, MD 21838","32019 Peters Point Ln","Marion Station,MD,21838","Somerset","Sediment_Erosion",2016-07-01,NA,NA,"16-4179",NA,"Active - No work today","Satisfactory/Compliance","Close File","Y",37.9748320106029,-75.6459610144824,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"153480","PAF 16-3110 Culotta Property at 2821 Armacost Ave.","2821 Armacost Ave.","Finksburg,MD,21048-1805","Carroll","Waterway Construction",2016-07-20,NA,NA,NA,NA,"Active","Satisfactory/Compliance","Close File","N",39.5057909843422,-76.8949140406707,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,3,0
"131570","Architect of the Capitol/Andrews Federal Campus","4317 Forestville Rd","District Heights,MD,20747","Prince George's","NPDES Construction Activity",2019-09-20,"10-NT-0259,10-SF-0427","MDRCQO0YF",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.8297194868055,-76.8774648924024,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,32,1
"149511","Dannon Garth Pond Renovation","Village of Long Reach; 300 ft","Columbia,MD,21045","Howard","NPDES Construction Activity",2016-12-01,"14-NT-3351","MDRCN01UD",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.2070339996972,-76.816098000124,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,6,1
"131793","Franklin Square Professional Center","5233 King Avenue","Rosedale,MD,21237","Baltimore","NPDES Construction Activity",2016-08-05,NA,"MDRCC011X",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.3567620026709,-76.4718689938023,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,4,1
"139706","MD SHA / Structure No. 13126X0 / I-95 over Trib to Dorsey Run","I-95 approximately 1 mile southwest of MD 175","Jessup,MD,20794","Howard","Nontidal Wetlands",2016-07-01,"08-NT-3263",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.1481211003189,-76.8141924003185,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
